Date,Open,High,Low,Close,Percent Change,Volume
2018-05-06,1366.15,1366.67,1353.4,1353.64,-0.92,345672992.0
2018-05-03,1360.38,1376.68,1360.41,1366.15,0.42,710668992.0
2018-05-02,1349.01,1360.87,1335.39,1360.38,0.84,362500000.0
2018-04-29,1357.22,1362.66,1337.93,1349.01,-0.6,378035008.0
2018-04-26,1386.47,1392.63,1354.19,1357.22,-2.11,567923968.0
2018-04-25,1394.86,1399.46,1384.59,1386.47,-0.6,529377984.0
2018-04-24,1410.85,1413.99,1391.19,1394.86,-1.13,688872000.0
2018-04-23,1438.49,1461.21,1398.41,1410.85,-1.92,1457789952.0
2018-04-22,1388.31,1438.57,1388.66,1438.49,3.61,1154540032.0
2018-04-19,1363.01,1391.74,1361.18,1388.31,1.86,1044529984.0
2018-04-18,1331.18,1392.16,1327.78,1363.01,2.39,1064979968.0
2018-04-17,1297.57,1334.45,1297.58,1331.18,2.59,916345984.0
2018-04-16,1280.15,1302.1,1277.01,1297.57,1.36,560924992.0
2018-04-15,1277.55,1280.9,1259.21,1280.15,0.2,292868992.0
2018-04-12,1273.33,1285.54,1273.37,1277.55,0.33,404896992.0
2018-04-11,1270.23,1273.35,1257.92,1273.33,0.24,250412000.0
2018-04-10,1287.78,1292.0,1266.85,1270.23,-1.36,333681984.0
2018-04-09,1294.65,1316.6,1286.76,1287.78,-0.53,796424000.0
2018-04-08,1250.39,1303.3,1250.19,1294.65,3.54,885886976.0
2018-04-05,1226.45,1250.49,1226.45,1250.39,1.95,605590976.0
2018-04-04,1199.0,1227.97,1199.06,1226.45,2.29,318393984.0
2018-04-03,1192.96,1200.35,1188.51,1199.0,0.51,213594000.0
2018-04-02,1196.24,1199.78,1191.24,1192.96,-0.27,184803008.0
2018-04-01,1204.81,1222.63,1185.51,1196.24,-1.97,293590016.0
2018-03-29,1204.81,1222.58,1204.69,1220.29,1.28,321771008.0
2018-03-28,1207.71,1222.95,1187.04,1204.81,-0.24,493057984.0
2018-03-27,1168.55,1217.39,1134.92,1207.71,3.35,468104000.0
2018-03-26,1220.44,1220.44,1166.01,1168.55,-4.25,453727008.0
2018-03-22,1231.07,1238.61,1207.56,1220.44,-0.86,431647008.0
2018-03-21,1255.47,1257.52,1224.39,1231.07,-1.94,360376992.0
2018-03-20,1270.52,1271.13,1249.6,1255.47,-1.18,302363008.0
2018-03-19,1278.96,1281.34,1269.25,1270.52,-0.66,256922000.0
2018-03-18,1288.36,1292.72,1277.53,1278.96,-0.73,266955008.0
2018-03-15,1285.96,1298.68,1284.75,1288.36,0.19,221290000.0
2018-03-14,1281.9,1285.96,1279.28,1285.96,0.32,168392000.0
2018-03-13,1277.01,1281.9,1276.68,1281.9,0.38,226427008.0
2018-03-12,1284.09,1289.52,1273.03,1277.01,-0.55,297712992.0
2018-03-11,1315.13,1315.51,1283.85,1284.09,-2.36,303252992.0
2018-03-07,1296.44,1315.13,1295.83,1315.13,1.44,422131008.0
2018-03-06,1287.74,1306.1,1267.23,1296.44,0.68,430979008.0
2018-03-05,1304.43,1319.54,1286.19,1287.74,-1.28,371527008.0
2018-03-04,1345.99,1345.79,1291.42,1304.43,-3.09,440904000.0
2018-02-28,1364.81,1364.96,1343.8,1345.99,-1.38,491740992.0
2018-02-27,1358.95,1377.62,1358.69,1364.81,0.43,437884992.0
2018-02-26,1374.73,1379.78,1356.64,1358.95,-1.15,446529984.0
2018-02-25,1386.98,1389.31,1374.08,1374.73,-0.88,252644000.0
2018-02-22,1387.08,1395.4,1382.04,1386.98,-0.01,330896992.0
2018-02-21,1396.72,1397.66,1386.0,1387.08,-0.69,244471008.0
2018-02-20,1413.9,1424.38,1396.59,1396.72,-1.22,310777984.0
2018-02-18,1424.95,1444.94,1413.07,1413.9,-0.78,567721984.0
2018-02-15,1388.94,1426.56,1388.94,1424.95,2.59,628467008.0
2018-02-14,1380.29,1389.04,1376.18,1388.94,0.63,277982016.0
2018-02-12,1384.71,1385.87,1378.64,1380.29,-0.32,218002000.0
2018-02-11,1391.03,1394.37,1383.95,1384.71,-0.45,194698000.0
2018-02-08,1382.02,1391.12,1378.58,1391.03,0.65,256940000.0
2018-02-07,1394.03,1395.25,1380.99,1382.02,-0.86,255580000.0
2018-02-06,1400.05,1401.58,1393.16,1394.03,-0.43,222879008.0
2018-02-05,1404.49,1413.14,1399.2,1400.05,-0.74,287900992.0
2018-02-04,1404.49,1418.21,1409.62,1410.51,-0.07,440143008.0
2018-02-01,1404.49,1415.18,1403.15,1411.52,0.5,396398016.0
2018-01-31,1402.23,1405.99,1399.67,1404.49,0.16,291264000.0
2018-01-29,1405.95,1407.86,1397.73,1402.23,-0.26,261374000.0
2018-01-28,1404.53,1411.68,1403.46,1405.95,0.1,341291008.0
2018-01-25,1394.73,1404.53,1394.28,1404.53,0.7,271240000.0
2018-01-24,1393.04,1397.1,1391.35,1394.73,0.12,218552000.0
2018-01-23,1402.09,1402.94,1392.09,1393.04,-0.65,301217984.0
2018-01-22,1402.67,1407.28,1400.6,1402.09,-0.04,336096000.0
2018-01-21,1406.52,1413.45,1402.31,1402.67,-0.27,381268992.0
2018-01-17,1413.71,1413.77,1399.39,1406.52,-0.51,398921984.0
2018-01-16,1431.1,1431.17,1408.88,1413.71,-1.22,340700992.0
2018-01-14,1440.29,1442.03,1426.45,1431.1,-0.64,316456000.0
2018-01-10,1456.07,1457.89,1439.87,1440.29,-1.08,356148000.0
2018-01-09,1443.8,1457.9,1441.88,1456.07,0.85,459059008.0
2018-01-08,1431.8,1448.78,1431.8,1443.8,0.84,444126016.0
2018-01-07,1423.83,1435.23,1422.31,1431.8,0.56,316608992.0
2018-01-04,1416.61,1423.83,1414.74,1423.83,0.51,365937984.0
2018-01-03,1437.24,1439.24,1414.96,1416.61,-1.44,435828992.0
2018-01-02,1434.8,1453.85,1429.85,1437.24,0.17,603081984.0
2018-01-01,1390.58,1434.95,1390.59,1434.8,3.18,462478016.0
2017-12-31,1414.78,1414.87,1382.33,1390.58,-1.71,422227008.0
2017-12-28,1425.51,1427.47,1409.31,1414.78,-0.75,732625984.0
2017-12-27,1447.04,1447.3,1421.29,1425.51,-1.49,643049984.0
2017-12-26,1467.68,1470.84,1445.25,1447.04,-1.41,523652992.0
2017-12-24,1472.15,1481.06,1466.46,1467.68,-0.3,500308000.0
2017-12-21,1484.47,1487.16,1470.64,1472.15,-0.83,447976000.0
2017-12-20,1493.76,1494.06,1482.52,1484.47,-0.62,391591008.0
2017-12-19,1508.25,1510.96,1493.0,1493.76,-0.96,490559008.0
2017-12-18,1509.14,1516.9,1507.68,1508.25,-0.06,518272992.0
2017-12-17,1520.15,1520.95,1505.84,1509.14,-0.72,479945984.0
2017-12-14,1520.74,1524.39,1515.16,1520.15,-0.04,404048000.0
2017-12-13,1510.21,1520.81,1504.13,1520.74,0.7,430999008.0
2017-12-12,1527.75,1530.84,1509.86,1510.21,-1.15,556129984.0
2017-12-11,1530.49,1533.01,1520.19,1527.75,-0.18,379048000.0
2017-12-10,1536.54,1556.84,1529.12,1530.49,-0.39,807576000.0
2017-12-06,1524.87,1537.51,1524.36,1536.54,0.77,608851968.0
2017-12-05,1526.77,1528.63,1517.99,1524.87,-0.12,490348992.0
2017-12-04,1537.67,1544.93,1524.54,1526.77,-0.71,525312992.0
2017-11-30,1536.12,1540.84,1527.14,1537.67,0.1,714825984.0
2017-11-29,1523.86,1548.67,1523.86,1536.12,0.8,1009910016.0
2017-11-28,1513.74,1524.01,1510.23,1523.86,0.67,542232000.0
2017-11-27,1514.34,1521.15,1508.22,1513.74,-0.04,640464000.0
2017-11-26,1493.29,1516.73,1493.29,1514.34,1.41,588665984.0
2017-11-23,1480.26,1494.1,1480.26,1493.29,0.88,426372000.0
2017-11-22,1469.16,1482.05,1470.97,1480.26,0.54,295387008.0
2017-11-21,1469.16,1481.3,1465.89,1472.24,0.21,290092000.0
2017-11-20,1475.72,1476.53,1467.07,1469.16,-0.44,354720000.0
2017-11-19,1489.06,1494.2,1475.04,1475.72,-0.9,424575008.0
2017-11-16,1504.79,1506.81,1488.52,1489.06,-1.05,416516000.0
2017-11-15,1516.02,1521.01,1503.97,1504.79,-0.74,584502016.0
2017-11-14,1490.88,1521.87,1490.82,1516.02,1.69,681294016.0
2017-11-13,1477.14,1492.02,1476.86,1490.88,0.93,514395008.0
2017-11-12,1460.73,1477.19,1456.66,1477.14,1.12,323486016.0
2017-11-09,1466.62,1475.83,1452.24,1460.73,-0.4,444492992.0
2017-11-08,1484.45,1484.54,1459.4,1466.62,-1.2,446584992.0
2017-11-07,1493.42,1503.32,1483.92,1484.45,-0.6,377729984.0
2017-11-06,1496.46,1503.43,1480.32,1493.42,-0.2,486160000.0
2017-11-05,1522.81,1524.43,1489.17,1496.46,-1.73,581257024.0
2017-11-02,1526.51,1527.08,1519.77,1522.81,-0.24,360876000.0
2017-11-01,1533.53,1535.88,1523.52,1526.51,-0.46,368937984.0
2017-10-31,1536.72,1539.94,1528.12,1533.53,-0.21,339512992.0
2017-10-30,1540.23,1542.91,1534.2,1536.72,-0.23,389572000.0
2017-10-29,1553.72,1555.21,1539.41,1540.23,-0.87,373524000.0
2017-10-25,1567.64,1568.06,1552.91,1553.72,-0.89,409729984.0
2017-10-24,1568.3,1572.4,1562.56,1567.64,-0.04,377179008.0
2017-10-23,1571.92,1575.67,1564.48,1568.3,-0.23,377179008.0
2017-10-22,1568.35,1586.89,1567.96,1571.92,0.23,346168992.0
2017-10-18,1559.18,1568.52,1548.32,1568.35,0.59,350052000.0
